200000, 1, 387
500000, 1, 1463
1000000, 1, 4065
5000000, 1, 42042
15000000, 1, 187757
20000000, 1, 288617
200000, 2, 219
500000, 2, 758
1000000, 2, 2118
5000000, 2, 21267
15000000, 2, 97495
20000000, 2, 148308
200000, 4, 123
500000, 4, 406
1000000, 4, 1082
5000000, 4, 10931
15000000, 4, 53054
20000000, 4, 79151
200000, 8, 74
500000, 8, 212
1000000, 8, 562
5000000, 8, 5548
15000000, 8, 27089
20000000, 8, 42492
200000, 16, 44
500000, 16, 124
1000000, 16, 300
5000000, 16, 2825
15000000, 16, 13692
20000000, 16, 21459
200000, 32, 22
500000, 32, 68
1000000, 32, 141
5000000, 32, 1112
15000000, 32, 5461
20000000, 32, 8402
